"","LSOA11CD","LSOA11NM","MSOA11CD","MSOA11NM","LAD11CD","LAD11NM","RGN11CD","RGN11NM","USUALRES","HHOLDRES","COMESTRES","POPDEN","HHOLDS","AVHHOLDSZ","pups2007","pups2015","pop2007","pop2015","good2007","good2015","bad2007","bad2015","ratio_stu_pop2007","ratio_stu_pop2015","per_good2007","per_bad2007","per_good2015","per_bad2015","rate_change_good","rate_change_bad","X.y","akb","akb2007","aral","aral2007","IMD2007","INCOME2007","EMPLOYMENT2007","EDUCATION2007","IMD","Income","Employment","Education","changeratio","change_good","change_ral","change_kb","difIMD","difIncome","difEmploy","difEdu"
"11","E01000012","Barking and Dagenham 015D","E02000016","Barking and Dagenham 015","E09000002","Barking and Dagenham","E12000007","London",1901,1895,6,136.8,698,2.7,104,161,417,656,82,92,0,0,0.249400479616307,0.307839388145315,78.8461538461538,0,57.1428571428571,0,-37.9807692307692,NA,11,1743.55507,1580.79905,3089.49526,1804.10621,5428,3174,9820,10607,5475,4886,12035,13286,1.23431754669804,1.1219512195122,1.71247969929664,1.10295807047708,47,1712,2215,2679
"12","E01000013","Barking and Dagenham 013A","E02000014","Barking and Dagenham 013","E09000002","Barking and Dagenham","E12000007","London",1660,1660,0,79.9,650,2.6,195,238,344,441,140,77,0,16,0.566860465116279,0.746081504702194,71.7948717948718,0,32.3529411764706,6.72268907563025,-121.911421911422,0,12,1447.13666,1323.52403,2538.71612,1507.86815,4324,5916,5782,2245,4416,5479,5910,8403,1.31616429547464,0.55,1.6836459606896,1.09339658910462,92,-437,128,6158
"13","E01000014","Barking and Dagenham 013B","E02000014","Barking and Dagenham 013","E09000002","Barking and Dagenham","E12000007","London",1656,1622,34,48.5,638,2.5,393,535,364,420,140,204,0,0,1.07967032967033,1.79530201342282,35.6234096692112,0,38.1308411214953,0,6.57586189692162,NA,13,1419.2248,1295.23098,2492.30917,1481.89274,5603,5307,5329,3898,5014,5874,7634,6988,1.66282425670714,1.45714285714286,1.6818418113041,1.09573104868137,-589,567,2305,3090
"14","E01000015","Barking and Dagenham 009A","E02000010","Barking and Dagenham 009","E09000002","Barking and Dagenham","E12000007","London",2241,2241,0,79.9,836,2.7,336,342,548,704,244,41,0,36,0.613138686131387,0.621818181818182,72.6190476190476,0,11.9883040935673,10.5263157894737,-505.749128919861,0,14,1412.36363,1290.08121,2484.52023,1473.94915,5481,4284,6371,2316,4765,3588,6594,9297,1.01415584415584,0.168032786885246,1.68562140016838,1.09478660649588,-716,-696,223,6981
"15","E01000016","Barking and Dagenham 009B","E02000010","Barking and Dagenham 009","E09000002","Barking and Dagenham","E12000007","London",1637,1637,0,82.3,626,2.6,302,299,398,449,68,100,0,0,0.758793969849246,0.914373088685015,22.5165562913907,0,33.4448160535117,0,32.6754966887417,NA,15,1406.27088,1282.45828,2467.54178,1464.35178,7400,6044,8700,4183,6446,5154,7129,8305,1.20503473277032,1.47058823529412,1.68507445663091,1.09654317955669,-954,-890,-1571,4122
"16","E01000017","Barking and Dagenham 009C","E02000010","Barking and Dagenham 009","E09000002","Barking and Dagenham","E12000007","London",1594,1594,0,100.6,609,2.6,299,354,362,426,68,173,0,0,0.825966850828729,1.16447368421053,22.742474916388,0,48.8700564971751,0,53.4633750265819,NA,16,1452.37544,1329.08235,2540.27156,1511.99635,6628,4669,6625,5992,4357,3642,4436,8614,1.40983101566626,2.54411764705882,1.68007783881224,1.09276557618871,-2271,-1027,-2189,2622
"17","E01000018","Barking and Dagenham 009D","E02000010","Barking and Dagenham 009","E09000002","Barking and Dagenham","E12000007","London",1597,1597,0,91.9,612,2.6,296,289,391,455,88,108,0,0,0.757033248081841,0.867867867867868,29.7297297297297,0,37.3702422145329,0,20.4454454454454,NA,17,1261.11739,1155.92505,2198.96968,1309.45732,7112,5010,7987,5220,5631,4009,7042,7422,1.14640654167681,1.22727272727273,1.67929847457724,1.09100273413056,-1481,-1001,-945,2202
"18","E01000019","Barking and Dagenham 023A","E02006799","Barking and Dagenham 023","E09000002","Barking and Dagenham","E12000007","London",1407,1407,0,76.5,504,2.8,253,346,329,404,44,132,0,0,0.768996960486322,1.22695035460993,17.3913043478261,0,38.150289017341,0,54.4137022397892,NA,18,1471.34515,1341.66769,2593.1184,1537.80794,7386,7343,7127,7816,6307,4613,5950,9901,1.59552042160738,3,1.68624334193514,1.09665393373228,-1079,-2730,-1177,2085
"19","E01000020","Barking and Dagenham 023B","E02006799","Barking and Dagenham 023","E09000002","Barking and Dagenham","E12000007","London",1834,1773,61,98,650,2.7,376,517,489,470,125,148,14,0,0.768916155419223,1.48563218390805,33.2446808510638,3.72340425531915,28.6266924564797,0,-16.1317567567567,NA,19,1474.71786,1342.45398,2597.21139,1536.64401,5769,5546,7018,4907,6960,5974,7761,9672,1.93211206896552,1.184,1.69018417609945,1.09852395834083,1191,428,743,4765
"20","E01000021","Barking and Dagenham 008A","E02000009","Barking and Dagenham 008","E09000002","Barking and Dagenham","E12000007","London",1579,1579,0,93.3,593,2.7,177,250,376,418,17,95,0,0,0.470744680851064,0.844594594594595,9.6045197740113,0,38,0,74.7249479631282,NA,20,1442.19881,1315.68079,2539.70158,1509.30391,6673,5329,10745,5553,4273,3978,6346,7746,1.79416704840434,5.58823529411765,1.6826972773164,1.09616163811284,-2400,-1351,-4399,2193
"21","E01000022","Barking and Dagenham 008B","E02000009","Barking and Dagenham 008","E09000002","Barking and Dagenham","E12000007","London",1314,1314,0,102.4,474,2.8,191,310,410,385,17,122,0,0,0.465853658536585,1.1787072243346,8.90052356020942,0,39.3548387096774,0,77.3839155437302,NA,21,1317.40823,1204.55721,2306.18357,1370.04579,8106,5858,12993,5062,7478,7108,6947,8287,2.53020922501145,7.17647058823529,1.68328941034883,1.09368672493355,-628,1250,-6046,3225
"22","E01000023","Barking and Dagenham 008C","E02000009","Barking and Dagenham 008","E09000002","Barking and Dagenham","E12000007","London",1112,1112,0,53.7,500,2.2,311,468,165,886,140,128,0,12,1.88484848484848,0.782608695652174,45.016077170418,0,27.3504273504274,2.56410256410256,-64.5900321543408,0,22,1461.36218,1336.31522,2571.3645,1522.21075,9103,9881,15598,10742,4931,3447,10651,9077,0.415210401230254,0.914285714285714,1.68923028562241,1.09357594535218,-4172,-6434,-4947,-1665
"23","E01000027","Barking and Dagenham 001A","E02000002","Barking and Dagenham 001","E09000002","Barking and Dagenham","E12000007","London",1709,1688,21,11.6,641,2.6,183,192,400,507,56,90,0,0,0.4575,0.498701298701299,30.6010928961749,0,46.875,0,34.7176684881603,NA,25,1341.34985,1227.51557,2342.46876,1393.92152,2990,1987,5879,3155,3924,3530,6518,3828,1.09005748350011,1.60714285714286,1.6804882673739,1.09273550803107,934,1543,639,673
"24","E01000029","Barking and Dagenham 001C","E02000002","Barking and Dagenham 001","E09000002","Barking and Dagenham","E12000007","London",1602,1602,0,62.4,690,2.3,259,273,289,305,177,169,13,16,0.896193771626298,1.49180327868852,68.3397683397683,5.01930501930502,61.9047619047619,5.86080586080586,-10.3950103950104,0,27,1290.52034,1179.1982,2253.21326,1344.64646,13953,14930,15815,11232,9890,13523,14189,14483,1.66459902525476,0.954802259887006,1.67569195846468,1.09440494396955,-4063,-1407,-1626,3251
"25","E01000030","Barking and Dagenham 001D","E02000002","Barking and Dagenham 001","E09000002","Barking and Dagenham","E12000007","London",1915,1915,0,66.9,770,2.5,206,208,457,665,177,172,0,0,0.450765864332604,0.393939393939394,85.9223300970874,0,82.6923076923077,0,-3.90607360578007,NA,28,1303.66746,1190.77458,2265.39309,1352.00622,2068,2228,4047,5666,4130,2853,6305,5743,0.87393350985584,0.971751412429379,1.6755788963752,1.09480625627732,2062,625,2258,77
"26","E01000032","Barking and Dagenham 002B","E02000003","Barking and Dagenham 002","E09000002","Barking and Dagenham","E12000007","London",1629,1629,0,43.4,631,2.6,271,309,353,426,102,101,0,0,0.767705382436261,1.01644736842105,37.6383763837638,0,32.6860841423948,0,-15.1510723028023,NA,30,1542.81649,1404.49693,2709.0432,1600.40655,8960,11231,12377,8822,8063,10212,10361,11620,1.32400708875509,0.990196078431373,1.69272188994728,1.09848334805545,-897,-1019,-2016,2798
"27","E01000033","Barking and Dagenham 006A","E02000007","Barking and Dagenham 006","E09000002","Barking and Dagenham","E12000007","London",1361,1361,0,93.7,533,2.6,199,204,342,409,171,81,0,0,0.58187134502924,0.710801393728223,85.929648241206,0,39.7058823529412,0,-116.41541038526,NA,31,1180.0305,1082.93607,2060.54494,1229.66137,4393,3417,5001,3642,4101,3477,4157,6261,1.2215782746485,0.473684210526316,1.6757011241233,1.08965850588022,-292,60,-844,2619
"28","E01000035","Barking and Dagenham 010A","E02000011","Barking and Dagenham 010","E09000002","Barking and Dagenham","E12000007","London",1610,1543,67,40.5,567,2.7,263,255,293,419,52,112,0,16,0.897610921501707,0.858585858585859,19.7718631178707,0,43.921568627451,6.27450980392157,54.9837045084193,0,33,1397.98309,1282.08388,2456.30888,1460.58569,11084,12297,12997,10856,9728,8965,11546,12250,0.956523408994892,2.15384615384615,1.68172870432545,1.0903990852767,-1356,-3332,-1451,1394
"29","E01000036","Barking and Dagenham 010B","E02000011","Barking and Dagenham 010","E09000002","Barking and Dagenham","E12000007","London",1353,1353,0,32.3,469,2.9,258,223,307,326,39,55,0,0,0.840390879478827,1.09313725490196,15.1162790697674,0,24.6636771300448,0,38.7103594080338,NA,34,1475.29716,1351.17457,2594.81986,1539.01879,13381,12229,16088,11238,13503,13220,15950,14656,1.30074859401125,1.41025641025641,1.6860222089946,1.0918627339175,122,991,-138,3418
"30","E01000039","Barking and Dagenham 003D","E02000004","Barking and Dagenham 003","E09000002","Barking and Dagenham","E12000007","London",1603,1595,8,10.5,659,2.4,292,280,335,366,39,180,0,0,0.871641791044776,1.14754098360656,13.3561643835616,0,64.2857142857143,0,79.2237442922374,NA,37,1278.74439,1174.34434,2232.12418,1327.12477,14673,15007,20926,16365,11760,11851,14756,12295,1.31652818324725,4.61538461538461,1.68192488789129,1.08890071373785,-2913,-3156,-6170,-4070
"31","E01000040","Barking and Dagenham 019A","E02000020","Barking and Dagenham 019","E09000002","Barking and Dagenham","E12000007","London",1569,1569,0,91.9,640,2.5,300,607,325,448,140,146,0,0,0.923076923076923,1.86196319018405,46.6666666666667,0,24.0527182866557,0,-94.0182648401826,NA,38,1650.86934,1507.60894,2843.72951,1678.67041,4983,3794,5696,3647,6266,4744,5777,9773,2.01712678936605,1.04285714285714,1.69403683597425,1.09502490745379,1283,950,81,6126
"32","E01000041","Barking and Dagenham 017A","E02000018","Barking and Dagenham 017","E09000002","Barking and Dagenham","E12000007","London",1682,1682,0,110.2,607,2.8,144,215,394,507,76,50,0,0,0.365482233502538,0.558441558441558,52.7777777777778,0,23.2558139534884,0,-126.944444444444,NA,39,1417.31653,1293.80262,2469.78255,1465.49646,7207,6334,9966,2921,6254,7487,8794,6004,1.52795815295815,0.657894736842105,1.68528728482906,1.09546580605935,-953,1153,-1172,3083
"33","E01000044","Barking and Dagenham 016D","E02000017","Barking and Dagenham 016","E09000002","Barking and Dagenham","E12000007","London",1798,1793,5,105.4,629,2.9,240,500,407,512,45,74,0,0,0.58968058968059,1.28205128205128,18.75,0,14.8,0,-26.6891891891892,NA,42,1478.00726,1348.13967,2577.35971,1521.32488,8084,7463,9886,10060,7728,8688,13483,12107,2.17414529914529,1.64444444444444,1.69415470941355,1.09633096101979,-356,1225,3597,2047
"34","E01000048","Barking and Dagenham 021B","E02000022","Barking and Dagenham 021","E09000002","Barking and Dagenham","E12000007","London",1783,1783,0,275.6,644,2.8,118,177,608,681,26,156,0,0,0.194078947368421,0.329608938547486,22.0338983050847,0,88.135593220339,0,75,NA,45,1597.60944,1450.2865,2793.27319,1647.54149,682,147,1534,3619,2351,1149,2660,10440,1.69832402234637,6,1.69541902704981,1.10158195639275,1669,1002,1126,6821
"35","E01000049","Barking and Dagenham 021C","E02000022","Barking and Dagenham 021","E09000002","Barking and Dagenham","E12000007","London",1820,1820,0,85.8,643,2.8,118,177,555,716,26,89,0,62,0.212612612612613,0.318918918918919,22.0338983050847,0,50.2824858757062,35.0282485875706,56.1797752808989,0,46,1550.92816,1413.0901,2710.37099,1596.55986,2247,1035,4881,3593,4106,3191,7021,9141,1.5,3.42307692307692,1.69763192593355,1.09754371642686,1859,2156,2140,5548
"36","E01000051","Barking and Dagenham 021D","E02000022","Barking and Dagenham 021","E09000002","Barking and Dagenham","E12000007","London",1927,1927,0,288.9,725,2.7,118,177,630,340,26,47,0,0,0.187301587301587,0.811926605504587,22.0338983050847,0,26.5536723163842,0,17.0212765957447,NA,48,1636.45128,1487.539,2879.49212,1692.55563,1632,658,1769,4784,3733,2433,5289,8717,4.33486238532111,1.80769230769231,1.70126882033414,1.10010647115807,2101,1775,3520,3933
"37","E01000054","Barking and Dagenham 018A","E02000019","Barking and Dagenham 018","E09000002","Barking and Dagenham","E12000007","London",1718,1718,0,100.4,638,2.7,183,288,370,490,52,69,0,0,0.494594594594595,0.782608695652174,28.4153005464481,0,23.9583333333333,0,-18.6029935851746,NA,51,1363.42472,1245.62463,2377.85474,1408.80393,6574,6748,5846,4066,7014,6398,10328,9906,1.58232359230221,1.32692307692308,1.6878535680973,1.09457109883898,440,-350,4482,5840
"38","E01000055","Barking and Dagenham 018B","E02000019","Barking and Dagenham 018","E09000002","Barking and Dagenham","E12000007","London",1553,1553,0,106.4,560,2.8,172,267,407,416,28,105,76,0,0.422604422604423,0.908163265306122,16.2790697674419,44.1860465116279,39.3258426966292,0,58.6046511627907,NA,52,1446.54056,1321.3315,2529.73348,1497.88314,7250,5823,7321,5482,7078,6537,8517,8152,2.14896772662553,3.75,1.68887239093966,1.09475976316314,-172,714,1196,2670
"39","E01000056","Barking and Dagenham 018C","E02000019","Barking and Dagenham 018","E09000002","Barking and Dagenham","E12000007","London",1584,1542,42,65,573,2.7,201,315,401,458,70,195,0,6,0.501246882793017,0.9375,34.8258706467662,0,61.9047619047619,1.9047619047619,43.7428243398393,0,53,1349.4518,1227.92185,2348.39483,1388.37172,5189,4077,6721,3429,3808,3992,5648,10164,1.87033582089552,2.78571428571429,1.69147411760879,1.09897205591708,-1381,-85,-1073,6735
"40","E01000057","Barking and Dagenham 012A","E02000013","Barking and Dagenham 012","E09000002","Barking and Dagenham","E12000007","London",1496,1496,0,101.3,537,2.8,172,267,377,433,104,63,0,0,0.456233421750663,0.858520900321543,60.4651162790698,0,23.5955056179775,0,-156.2569213732,NA,54,1600.04391,1459.43549,2807.90029,1658.07341,5599,4944,7364,5338,4455,4634,5843,7312,1.88175801989082,0.605769230769231,1.69347163585477,1.09634438861015,-1144,-310,-1521,1974
"41","E01000058","Barking and Dagenham 018D","E02000019","Barking and Dagenham 018","E09000002","Barking and Dagenham","E12000007","London",1849,1849,0,101.5,690,2.7,183,283,359,571,81,106,0,102,0.50974930362117,0.626106194690266,44.2622950819672,0,37.4558303886926,36.0424028268551,-18.1719764924219,0,55,1475.61936,1346.35308,2590.07347,1532.86469,5978,6055,6715,3288,7479,6160,8315,10286,1.2282629720973,1.30864197530864,1.68969478317098,1.09601216940804,1501,105,1600,6998
"42","E01000059","Barking and Dagenham 013C","E02000014","Barking and Dagenham 013","E09000002","Barking and Dagenham","E12000007","London",1582,1540,42,75.9,578,2.7,249,360,428,434,119,151,0,90,0.581775700934579,1.15384615384615,47.7911646586345,0,41.9444444444444,25,-13.9392005106519,0,56,1257.15934,1150.27095,2188.88996,1300.33275,6382,5722,8366,5096,5047,4691,5457,9702,1.98331788693234,1.26890756302521,1.68333063979201,1.09292453225912,-1335,-1031,-2909,4606
"43","E01000060","Barking and Dagenham 006B","E02000007","Barking and Dagenham 006","E09000002","Barking and Dagenham","E12000007","London",1809,1809,0,32.9,770,2.3,508,607,408,531,235,270,0,0,1.24509803921569,1.48048780487805,46.259842519685,0,44.4810543657331,0,-3.99897929425488,NA,57,1352.17998,1232.58761,2366.69406,1416.62136,4610,5170,3739,5849,4259,4136,5900,11765,1.18905319761859,1.14893617021277,1.67066100146902,1.09702545200823,-351,-1034,2161,5916
"44","E01000061","Barking and Dagenham 006C","E02000007","Barking and Dagenham 006","E09000002","Barking and Dagenham","E12000007","London",1776,1719,57,29.1,668,2.6,455,594,582,589,126,323,0,0,0.781786941580756,1.26923076923077,27.6923076923077,0,54.3771043771044,0,49.0735889497499,NA,58,1346.75656,1227.97742,2369.72785,1404.31644,1082,388,2554,1752,1277,617,2356,4485,1.62349957734573,2.56349206349206,1.68746002147493,1.09672746262712,195,229,-198,2733
"45","E01000063","Barking and Dagenham 004A","E02000005","Barking and Dagenham 004","E09000002","Barking and Dagenham","E12000007","London",1620,1620,0,89.4,635,2.6,388,561,388,454,84,265,0,0,1,1.68975903614458,21.6494845360825,0,47.2370766488414,0,54.1684497179537,NA,60,1351.52717,1228.82101,2356.00089,1404.51397,7139,7862,6477,4291,6231,5926,7224,6523,1.68975903614458,3.1547619047619,1.67744923889935,1.09985682129572,-908,-1936,747,2232
"46","E01000064","Barking and Dagenham 006E","E02000007","Barking and Dagenham 006","E09000002","Barking and Dagenham","E12000007","London",1893,1831,62,90.7,709,2.6,385,435,389,524,39,274,0,0,0.989717223650386,1.08208955223881,10.1298701298701,0,62.9885057471264,0,83.9179069106076,NA,61,1256.18384,1149.29024,2195.28535,1308.18511,6018,5384,7052,4847,6050,5762,7733,8146,1.09333204109324,7.02564102564103,1.67811522484001,1.09300835966379,32,378,681,3299
"47","E01000067","Barking and Dagenham 011B","E02000012","Barking and Dagenham 011","E09000002","Barking and Dagenham","E12000007","London",1969,1969,0,102.3,679,2.9,403,857,367,484,202,195,0,0,1.09809264305177,2.36740331491713,50.1240694789082,0,22.7537922987165,0,-120.288859197048,NA,64,1538.45185,1402.44767,2717.30232,1607.58351,13231,11033,14231,14931,13473,11250,16419,15606,2.15592311805109,0.965346534653465,1.6903024341174,1.09697629573587,242,217,2188,675
"48","E01000068","Barking and Dagenham 016E","E02000017","Barking and Dagenham 016","E09000002","Barking and Dagenham","E12000007","London",1590,1575,15,46.8,462,3.4,477,1082,275,312,295,296,0,279,1.73454545454545,5.69473684210526,61.8448637316562,0,27.3567467652495,25.7855822550832,-126.068049181257,0,65,1707.66386,1551.80415,3018.06159,1769.40233,11547,12530,15653,15226,10292,11550,15677,17504,3.28312920666447,1.00338983050847,1.70569549888634,1.10043774531728,-1255,-980,24,2278
"49","E01000072","Barking and Dagenham 017E","E02000018","Barking and Dagenham 017","E09000002","Barking and Dagenham","E12000007","London",1991,1991,0,38.3,784,2.5,243,403,427,585,140,86,0,26,0.569086651053864,0.868534482758621,57.6131687242798,0,21.3399503722084,6.45161290322581,-169.977988324242,0,69,1373.09902,1255.26107,2393.11344,1421.11914,4886,3434,6921,5368,3339,4319,6679,6730,1.52619022278984,0.614285714285714,1.68396397785481,1.09387525257993,-1547,885,-242,1362
"50","E01000075","Barking and Dagenham 012D","E02000013","Barking and Dagenham 012","E09000002","Barking and Dagenham","E12000007","London",1732,1732,0,33.5,622,2.8,316,462,407,428,28,68,0,0,0.776412776412776,1.50980392156863,8.86075949367089,0,14.7186147186147,0,39.7989575577066,NA,72,1588.7327,1447.75805,2789.14458,1650.61998,6644,6517,7353,5345,4926,6152,8547,7489,1.94458922809631,2.42857142857143,1.68975573650817,1.09737445424669,-1718,-365,1194,2144
"51","E01000078","Barking and Dagenham 007B","E02000008","Barking and Dagenham 007","E09000002","Barking and Dagenham","E12000007","London",1666,1666,0,94.8,649,2.6,248,398,404,466,103,234,0,31,0.613861386138614,1.15697674418605,41.5322580645161,0,58.7939698492462,7.78894472361809,29.3596636338572,0,75,1462.49168,1333.28715,2573.21125,1529.72992,5241,3849,6668,4072,5435,3847,8895,6840,1.88475243810953,2.27184466019417,1.68213435349424,1.0969067541077,194,-2,2227,2768
"52","E01000079","Barking and Dagenham 009E","E02000010","Barking and Dagenham 009","E09000002","Barking and Dagenham","E12000007","London",1546,1546,0,49.9,609,2.5,360,464,335,430,199,362,11,0,1.07462686567164,1.50649350649351,55.2777777777778,3.05555555555556,78.0172413793103,0,29.14671577655,NA,76,1384.65478,1264.45805,2440.04116,1449.61853,6922,6346,7428,5490,5302,5300,6830,8613,1.40187590187591,1.81909547738693,1.68322983564511,1.0950579024745,-1620,-1046,-598,3123
"53","E01000080","Barking and Dagenham 007C","E02000008","Barking and Dagenham 007","E09000002","Barking and Dagenham","E12000007","London",1556,1556,0,67.3,594,2.6,236,308,384,447,29,152,0,0,0.614583333333333,0.947692307692308,12.2881355932203,0,49.3506493506493,0,75.1003568242641,NA,77,1494.0912,1363.33425,2628.12766,1561.66387,6329,5968,5764,6048,6505,5965,5991,10366,1.54200782268579,5.24137931034483,1.68290226244397,1.09590967878934,176,-3,227,4318
"54","E01000083","Barking and Dagenham 007F","E02000008","Barking and Dagenham 007","E09000002","Barking and Dagenham","E12000007","London",1700,1700,0,94.5,629,2.7,270,417,364,487,147,357,0,0,0.741758241758242,1.14246575342466,54.4444444444444,0,85.6115107913669,0,36.4052287581699,NA,80,1493.56923,1359.54931,2636.5164,1575.31433,6428,6060,6361,4234,5076,3503,6784,9411,1.54021308980213,2.42857142857143,1.67364464969985,1.09857672613581,-1352,-2557,423,5177
"55","E01000084","Barking and Dagenham 013D","E02000014","Barking and Dagenham 013","E09000002","Barking and Dagenham","E12000007","London",1355,1355,0,90.3,517,2.6,252,327,314,382,194,266,0,0,0.802547770700637,1.25769230769231,76.984126984127,0,81.3455657492355,0,5.36161833154314,NA,81,1462.0914,1333.82554,2578.98035,1530.06801,6378,7295,7909,3615,3973,3963,6766,4659,1.56712454212454,1.37113402061856,1.6855331482945,1.09616389561711,-2405,-3332,-1143,1044
"56","E01000085","Barking and Dagenham 013E","E02000014","Barking and Dagenham 013","E09000002","Barking and Dagenham","E12000007","London",1718,1711,7,118.2,640,2.7,223,281,377,513,119,72,0,0,0.591511936339523,0.718670076726343,53.3632286995516,0,25.6227758007117,0,-108.264823119083,NA,82,1438.68718,1312.97417,2537.83,1503.36507,4835,3971,5256,4076,4861,5601,6419,6408,1.21497138531763,0.605042016806723,1.68809961774621,1.09574675029593,26,1630,1163,2332
