"","zone_origin","akb","akb2007","aral","aral2007"
"2892","E01002957",1504.72234,1413.43651,2540.81602,1580.88945
"2893","E01002958",1493.80244,1403.89636,2535.75274,1561.00186
"2894","E01002959",1641.03048,1542.58244,2777.79818,1718.9558
"2895","E01002960",1593.84521,1503.37775,2696.5964,1672.18028
"2896","E01002961",1610.02433,1515.81254,2730.44647,1684.7859
"2897","E01002962",1597.327,1504.05161,2704.93912,1671.26941
"2898","E01002963",1743.58161,1643.71786,2963.861,1829.50798
"2899","E01002964",1667.97165,1576.40473,2891.17307,1796.0104
"2900","E01002965",1611.3045,1521.96247,2779.84009,1726.07356
"2901","E01002966",1606.522,1511.82074,2725.45029,1684.34983
"2902","E01002967",1719.7169,1627.78611,2888.83744,1788.72964
"2903","E01002968",1618.85012,1528.049,2679.78859,1665.82117
"2904","E01002969",1569.15386,1481.67149,2664.95369,1659.08531
"2905","E01002970",1505.83239,1421.22027,2557.14815,1588.34397
"2906","E01002971",1687.77553,1603.42524,2944.37418,1835.43343
"2907","E01002972",1590.44907,1504.64387,2707.53089,1685.35945
"2908","E01002973",1540.92491,1457.06921,2617.42241,1626.33964
"2909","E01002974",1663.62892,1567.30866,2811.64801,1746.99715
"2910","E01002975",1624.82148,1529.41442,2757.7648,1703.15942
"2911","E01002976",1411.94479,1326.3915,2399.28177,1478.17816
"2912","E01002977",1684.6998,1589.38976,2865.99361,1770.96255
"2913","E01002978",1826.53054,1723.77212,3144.81109,1955.87056
"2914","E01002979",1435.51595,1348.1697,2438.13142,1501.45396
