"","LSOA11NM","LSOA11CD","MSOA11CD","MSOA11NM","LAD11CD","LAD11NM","RGN11CD","RGN11NM","USUALRES","HHOLDRES","COMESTRES","POPDEN","HHOLDS","AVHHOLDSZ","LA.CODE","LA.NAME","X","IMD2007","INCOME2007","EMPLOYMENT2007","EDUCATION2007","IMD","Income","Employment","Education","dif_IMD","dif_income","dif_employ","dif_edu"
"44","Barking and Dagenham 010B","E01000036","E02000011","Barking and Dagenham 010","E09000002","Barking and Dagenham","E12000007","London",1353,1353,0,32.3,469,2.9,"00AB","Barking and Dagenham",NA,13381,12229,16088,11238,13503,13220,15950,14656,122,991,-138,3418
"12","Barking and Dagenham 003B","E01000037","E02000004","Barking and Dagenham 003","E09000002","Barking and Dagenham","E12000007","London",1688,1547,141,72.3,579,2.7,"00AB","Barking and Dagenham",NA,11820,16761,7477,11303,14189,12774,8692,14137,2369,-3987,1215,2834
"13","Barking and Dagenham 003C","E01000038","E02000004","Barking and Dagenham 003","E09000002","Barking and Dagenham","E12000007","London",1447,1447,0,67.6,563,2.6,"00AB","Barking and Dagenham",NA,13110,13557,13726,9547,14938,13158,12448,14731,1828,-399,-1278,5184
"14","Barking and Dagenham 003D","E01000039","E02000004","Barking and Dagenham 003","E09000002","Barking and Dagenham","E12000007","London",1603,1595,8,10.5,659,2.4,"00AB","Barking and Dagenham",NA,14673,15007,20926,16365,11760,11851,14756,12295,-2913,-3156,-6170,-4070
"86","Barking and Dagenham 019A","E01000040","E02000020","Barking and Dagenham 019","E09000002","Barking and Dagenham","E12000007","London",1569,1569,0,91.9,640,2.5,"00AB","Barking and Dagenham",NA,4983,3794,5696,3647,6266,4744,5777,9773,1283,950,81,6126
"76","Barking and Dagenham 017A","E01000041","E02000018","Barking and Dagenham 017","E09000002","Barking and Dagenham","E12000007","London",1682,1682,0,110.2,607,2.8,"00AB","Barking and Dagenham",NA,7207,6334,9966,2921,6254,7487,8794,6004,-953,1153,-1172,3083
"77","Barking and Dagenham 017B","E01000042","E02000018","Barking and Dagenham 017","E09000002","Barking and Dagenham","E12000007","London",1788,1786,2,77.3,679,2.6,"00AB","Barking and Dagenham",NA,4698,3203,4544,8305,3446,2070,3127,7357,-1252,-1133,-1417,-948
"87","Barking and Dagenham 019B","E01000043","E02000020","Barking and Dagenham 019","E09000002","Barking and Dagenham","E12000007","London",1358,1356,2,51,461,2.9,"00AB","Barking and Dagenham",NA,9169,7190,12676,6198,6612,6127,8667,7784,-2557,-1063,-4009,1586
"74","Barking and Dagenham 016D","E01000044","E02000017","Barking and Dagenham 016","E09000002","Barking and Dagenham","E12000007","London",1798,1793,5,105.4,629,2.9,"00AB","Barking and Dagenham",NA,8084,7463,9886,10060,7728,8688,13483,12107,-356,1225,3597,2047
"78","Barking and Dagenham 017C","E01000045","E02000018","Barking and Dagenham 017","E09000002","Barking and Dagenham","E12000007","London",1650,1646,4,55.3,602,2.7,"00AB","Barking and Dagenham",NA,5380,5151,8679,3491,5172,4673,8662,9897,-208,-478,-17,6406
"79","Barking and Dagenham 017D","E01000046","E02000018","Barking and Dagenham 017","E09000002","Barking and Dagenham","E12000007","London",1779,1779,0,114.4,654,2.7,"00AB","Barking and Dagenham",NA,7879,6079,7174,8487,7720,6405,8972,8085,-159,326,1798,-402
"96","Barking and Dagenham 021B","E01000048","E02000022","Barking and Dagenham 021","E09000002","Barking and Dagenham","E12000007","London",1783,1783,0,275.6,644,2.8,"00AB","Barking and Dagenham",NA,682,147,1534,3619,2351,1149,2660,10440,1669,1002,1126,6821
"97","Barking and Dagenham 021C","E01000049","E02000022","Barking and Dagenham 021","E09000002","Barking and Dagenham","E12000007","London",1820,1820,0,85.8,643,2.8,"00AB","Barking and Dagenham",NA,2247,1035,4881,3593,4106,3191,7021,9141,1859,2156,2140,5548
"88","Barking and Dagenham 019C","E01000050","E02000020","Barking and Dagenham 019","E09000002","Barking and Dagenham","E12000007","London",1661,1661,0,120.6,615,2.7,"00AB","Barking and Dagenham",NA,7775,6709,8520,10546,5865,7662,10071,10451,-1910,953,1551,-95
"98","Barking and Dagenham 021D","E01000051","E02000022","Barking and Dagenham 021","E09000002","Barking and Dagenham","E12000007","London",1927,1927,0,288.9,725,2.7,"00AB","Barking and Dagenham",NA,1632,658,1769,4784,3733,2433,5289,8717,2101,1775,3520,3933
"89","Barking and Dagenham 019D","E01000052","E02000020","Barking and Dagenham 019","E09000002","Barking and Dagenham","E12000007","London",2014,2014,0,100.9,769,2.6,"00AB","Barking and Dagenham",NA,9055,7353,9777,9575,7488,6896,10831,9195,-1567,-457,1054,-380
"91","Barking and Dagenham 020A","E01000053","E02000021","Barking and Dagenham 020","E09000002","Barking and Dagenham","E12000007","London",1485,1484,1,82.1,645,2.3,"00AB","Barking and Dagenham",NA,6612,4017,7710,8894,3891,4018,6632,8961,-2721,1,-1078,67
"81","Barking and Dagenham 018A","E01000054","E02000019","Barking and Dagenham 018","E09000002","Barking and Dagenham","E12000007","London",1718,1718,0,100.4,638,2.7,"00AB","Barking and Dagenham",NA,6574,6748,5846,4066,7014,6398,10328,9906,440,-350,4482,5840
"82","Barking and Dagenham 018B","E01000055","E02000019","Barking and Dagenham 018","E09000002","Barking and Dagenham","E12000007","London",1553,1553,0,106.4,560,2.8,"00AB","Barking and Dagenham",NA,7250,5823,7321,5482,7078,6537,8517,8152,-172,714,1196,2670
"83","Barking and Dagenham 018C","E01000056","E02000019","Barking and Dagenham 018","E09000002","Barking and Dagenham","E12000007","London",1584,1542,42,65,573,2.7,"00AB","Barking and Dagenham",NA,5189,4077,6721,3429,3808,3992,5648,10164,-1381,-85,-1073,6735
"52","Barking and Dagenham 012A","E01000057","E02000013","Barking and Dagenham 012","E09000002","Barking and Dagenham","E12000007","London",1496,1496,0,101.3,537,2.8,"00AB","Barking and Dagenham",NA,5599,4944,7364,5338,4455,4634,5843,7312,-1144,-310,-1521,1974
"84","Barking and Dagenham 018D","E01000058","E02000019","Barking and Dagenham 018","E09000002","Barking and Dagenham","E12000007","London",1849,1849,0,101.5,690,2.7,"00AB","Barking and Dagenham",NA,5978,6055,6715,3288,7479,6160,8315,10286,1501,105,1600,6998
"59","Barking and Dagenham 013C","E01000059","E02000014","Barking and Dagenham 013","E09000002","Barking and Dagenham","E12000007","London",1582,1540,42,75.9,578,2.7,"00AB","Barking and Dagenham",NA,6382,5722,8366,5096,5047,4691,5457,9702,-1335,-1031,-2909,4606
"21","Barking and Dagenham 006B","E01000060","E02000007","Barking and Dagenham 006","E09000002","Barking and Dagenham","E12000007","London",1809,1809,0,32.9,770,2.3,"00AB","Barking and Dagenham",NA,4610,5170,3739,5849,4259,4136,5900,11765,-351,-1034,2161,5916
"22","Barking and Dagenham 006C","E01000061","E02000007","Barking and Dagenham 006","E09000002","Barking and Dagenham","E12000007","London",1776,1719,57,29.1,668,2.6,"00AB","Barking and Dagenham",NA,1082,388,2554,1752,1277,617,2356,4485,195,229,-198,2733
"23","Barking and Dagenham 006D","E01000062","E02000007","Barking and Dagenham 006","E09000002","Barking and Dagenham","E12000007","London",1952,1952,0,88.2,761,2.6,"00AB","Barking and Dagenham",NA,7594,6294,8275,9010,7633,7277,10782,7683,39,983,2507,-1327
"15","Barking and Dagenham 004A","E01000063","E02000005","Barking and Dagenham 004","E09000002","Barking and Dagenham","E12000007","London",1620,1620,0,89.4,635,2.6,"00AB","Barking and Dagenham",NA,7139,7862,6477,4291,6231,5926,7224,6523,-908,-1936,747,2232
"24","Barking and Dagenham 006E","E01000064","E02000007","Barking and Dagenham 006","E09000002","Barking and Dagenham","E12000007","London",1893,1831,62,90.7,709,2.6,"00AB","Barking and Dagenham",NA,6018,5384,7052,4847,6050,5762,7733,8146,32,378,681,3299
