Codes;Names;pop0-15;Working age
E01000546;Brent 028B;245;1220
E01000547;Brent 028C;245;1294
E01000548;Brent 028D;206;1313
E01000549;Brent 028E;251;1390
E01000550;Brent 034B;369;1262
E01000551;Brent 034C;544;1221
E01000552;Brent 034D;513;1194
E01000553;Brent 015A;303;1448
E01000554;Brent 015B;324;1274
E01000555;Brent 015C;293;1033
E01000556;Brent 015D;247;1413
E01000557;Brent 015E;208;1466
E01000558;Brent 015F;216;1181
E01000559;Brent 018E;166;1138
E01000560;Brent 023D;198;1209
E01000561;Brent 023E;285;1194
E01000562;Brent 008A;271;954
E01000563;Brent 008B;263;941
E01000564;Brent 013A;315;997
E01000565;Brent 013B;274;932
E01000566;Brent 008C;268;936
E01000567;Brent 016A;241;825
E01000568;Brent 008D;254;1515
E01000569;Brent 008E;329;1032
E01000570;Brent 012A;348;1034
E01000571;Brent 012B;269;1012
E01000572;Brent 007A;256;865
E01000573;Brent 007B;262;842
E01000574;Brent 007C;253;782
E01000575;Brent 007D;278;1158
E01000576;Brent 012C;278;1016
E01000577;Brent 007E;626;1265
E01000578;Brent 012D;219;1033
E01000579;Brent 032A;279;1222
E01000580;Brent 032B;354;1298
E01000581;Brent 030E;302;1074
E01000582;Brent 032C;408;1305
E01000583;Brent 032D;329;1641
E01000584;Brent 033E;270;1114
E01000585;Brent 033F;289;1199
E01000586;Brent 032E;297;1567
E01000587;Brent 001A;277;1035
E01000588;Brent 002E;511;1204
E01000589;Brent 001B;331;1211
E01000590;Brent 001C;323;1084
E01000591;Brent 003F;387;1226
E01000592;Brent 001D;263;999
E01000593;Brent 001E;381;1223
E01000594;Brent 001F;294;1019
E01000595;Brent 027A;500;908
E01000596;Brent 021A;449;975
E01000597;Brent 027B;428;849
E01000598;Brent 027C;261;677
E01000599;Brent 027D;324;829
E01000600;Brent 027E;427;951
E01000601;Brent 021B;477;912
E01000602;Brent 021C;395;912
E01000603;Brent 021D;393;985
E01000604;Brent 021E;435;968
E01000605;Brent 021F;470;957
E01000606;Brent 016B;378;1106
E01000607;Brent 013C;406;1220
E01000608;Brent 013D;406;1216
E01000609;Brent 016C;411;1205
E01000610;Brent 019A;350;1207
E01000611;Brent 016D;338;949
E01000612;Brent 019B;291;1069
E01000613;Brent 013E;315;987
E01000614;Brent 017A;304;1515
E01000615;Brent 017B;332;1151
E01000616;Brent 020A;288;1088
E01000617;Brent 017C;286;1046
E01000618;Brent 017D;329;971
E01000619;Brent 017E;282;1014
E01000620;Brent 020B;327;1087
E01000621;Brent 020C;341;1053
E01000622;Brent 010D;274;997
E01000623;Brent 005C;303;1024
E01000624;Brent 005D;288;953
E01000625;Brent 009E;253;858
E01000626;Brent 010E;383;960
E01000627;Brent 014E;424;1316
E01000628;Brent 014F;335;1230
E01000629;Brent 005E;317;1222
E01000630;Brent 026E;375;1342
E01000631;Brent 019C;301;1105
E01000632;Brent 029E;329;1314
E01000633;Brent 019D;262;1173
E01000634;Brent 019E;400;1252
E01000635;Brent 020D;403;1227
E01000636;Brent 020E;293;1157
E01000637;Brent 022B;222;1166
E01000638;Brent 024A;305;1243
E01000639;Brent 022C;233;1341
E01000640;Brent 024B;375;1249
E01000641;Brent 024C;314;1259
E01000642;Brent 022D;220;1533
E01000643;Brent 024D;397;1141
E01000644;Brent 022E;324;1286
E01000645;Bromley 007A;278;850
E01000646;Bromley 016A;241;1099
E01000647;Bromley 016B;380;1066
E01000648;Bromley 016C;409;1132
E01000649;Bromley 007B;340;1088
E01000650;Bromley 022A;315;1044
E01000651;Bromley 020A;294;919
E01000652;Bromley 022B;321;988
E01000653;Bromley 016D;251;932
E01000654;Bromley 039A;279;945
E01000655;Bromley 039B;297;951
E01000656;Bromley 039C;268;939
E01000657;Bromley 039D;247;1015
E01000658;Bromley 038A;245;826
E01000659;Bromley 039E;308;1001
E01000660;Bromley 038B;247;934
E01000661;Bromley 026A;374;936
E01000662;Bromley 026B;364;1068
E01000663;Bromley 026C;330;994
E01000664;Bromley 026D;381;1012
E01000665;Bromley 033A;336;1098
E01000666;Bromley 033B;273;964
E01000667;Bromley 033C;317;965
E01000668;Bromley 020B;285;1014
E01000669;Bromley 020C;318;1053
E01000670;Bromley 018A;373;1303
E01000671;Bromley 020D;287;1044
E01000672;Bromley 011A;242;977
E01000673;Bromley 011B;326;982
E01000674;Bromley 008A;210;1022
E01000675;Bromley 018B;269;1064
E01000676;Bromley 008B;264;1074
E01000677;Bromley 018C;309;1165
E01000678;Bromley 016E;346;1012
E01000679;Bromley 020E;332;982
E01000680;Bromley 037A;245;1064
E01000681;Bromley 035A;358;1090
E01000682;Bromley 035B;312;854
E01000683;Bromley 035C;303;1010
E01000684;Bromley 035D;452;1304
E01000685;Bromley 037B;326;966
E01000686;Bromley 037C;249;914
E01000687;Bromley 037D;291;999
E01000688;Bromley 037E;302;884
